t,h_t,e,d
1595665706.5413105,2020-07-25 11:28:26.541295,32.2366,27.8779
1595665770.1248207,2020-07-25 11:29:30.124805,32.2366,27.8779
1595665833.8721097,2020-07-25 11:30:33.872094,32.2366,27.8779
1595665897.456192,2020-07-25 11:31:37.456176,32.2366,27.8779
1595665960.9674246,2020-07-25 11:32:40.967408,32.2366,27.8779
1595666024.4763122,2020-07-25 11:33:44.476295,32.2366,27.8779
1595666087.9743888,2020-07-25 11:34:47.974374,32.2366,27.8779
1595666151.7013292,2020-07-25 11:35:51.701313,32.2366,27.8779
1595666215.1668646,2020-07-25 11:36:55.166849,32.2366,27.8779
1595666278.8995633,2020-07-25 11:37:58.899548,32.2366,27.8779
1595666342.8035889,2020-07-25 11:39:02.803573,32.2366,27.8779
1595666406.6148832,2020-07-25 11:40:06.614867,32.2366,27.8779
1595666470.310714,2020-07-25 11:41:10.310700,32.2366,27.8779
1595666533.9218445,2020-07-25 11:42:13.921828,32.2366,27.8779
1595666597.3317254,2020-07-25 11:43:17.331709,32.2366,27.8779
1595666660.753594,2020-07-25 11:44:20.753577,32.2366,27.8779
1595666724.754017,2020-07-25 11:45:24.754001,32.2366,27.8779
1595666788.4313357,2020-07-25 11:46:28.431319,32.2366,27.8779
1595666851.9566882,2020-07-25 11:47:31.956672,32.2366,27.8779
1595666915.4375317,2020-07-25 11:48:35.437516,32.2366,27.8779
1595666979.0972476,2020-07-25 11:49:39.097231,32.2366,27.8779
1595667042.6313734,2020-07-25 11:50:42.631357,32.2366,27.8779
1595667106.2157116,2020-07-25 11:51:46.215696,32.2366,27.8779
1595667169.8820612,2020-07-25 11:52:49.882046,32.2366,27.8779
1595667233.489352,2020-07-25 11:53:53.489336,32.2366,27.8779
1595667297.303036,2020-07-25 11:54:57.303020,32.2366,27.8779
1595667360.8434768,2020-07-25 11:56:00.843460,32.2366,27.8779
1595667424.3774078,2020-07-25 11:57:04.377392,32.2366,27.8779
1595667488.193389,2020-07-25 11:58:08.193370,32.2366,27.8779
1595667551.8308609,2020-07-25 11:59:11.830846,32.2366,27.8779
1595674822.7891326,2020-07-25 14:00:22.789118,32.2366,27.8779
1595674886.4100335,2020-07-25 14:01:26.410017,32.2366,27.8779
1595674950.010661,2020-07-25 14:02:30.010646,32.2366,27.8779
1595675013.6564512,2020-07-25 14:03:33.656436,32.2366,27.8779
1595675077.2248425,2020-07-25 14:04:37.224826,32.2366,27.8779
1595675140.9150498,2020-07-25 14:05:40.915034,32.2366,27.8779
1595675204.4568574,2020-07-25 14:06:44.456842,32.2366,27.8779
1595675268.1093507,2020-07-25 14:07:48.109335,32.2366,27.8779
1595675331.6399524,2020-07-25 14:08:51.639937,32.2366,27.8779
1595675395.2347748,2020-07-25 14:09:55.234759,32.2366,27.8779
1595675464.7063072,2020-07-25 14:11:04.706291,32.2366,27.8779
1595675533.381803,2020-07-25 14:12:13.381787,32.2366,27.8779
1595675596.905705,2020-07-25 14:13:16.905689,32.2366,27.8779
1595675665.973321,2020-07-25 14:14:25.973305,32.2366,27.8779
1595675729.6864886,2020-07-25 14:15:29.686473,32.2366,27.8779
1595675793.2709444,2020-07-25 14:16:33.270928,32.2366,27.8779
1595675856.8398123,2020-07-25 14:17:36.839796,32.2366,27.8779
1595675920.4200394,2020-07-25 14:18:40.420024,32.2366,27.8779
1595675983.8743532,2020-07-25 14:19:43.874337,32.2366,27.8779
1595676047.4610426,2020-07-25 14:20:47.461026,32.2366,27.8779
1595676110.8529193,2020-07-25 14:21:50.852902,32.2366,27.8779
1595676174.3489668,2020-07-25 14:22:54.348951,32.2366,27.8779
1595676237.8779876,2020-07-25 14:23:57.877973,32.2366,27.8779
1595676301.3989527,2020-07-25 14:25:01.398938,32.2366,27.8779
1595676364.9844134,2020-07-25 14:26:04.984398,32.2366,27.8779
1595676428.8864496,2020-07-25 14:27:08.886434,32.2366,27.8779
1595676492.458077,2020-07-25 14:28:12.458061,32.2366,27.8779
1595676555.986472,2020-07-25 14:29:15.986455,32.2366,27.8779
1595676619.7021449,2020-07-25 14:30:19.702129,32.2366,27.8779
1595676683.407059,2020-07-25 14:31:23.407043,32.2366,27.8779
1595676747.79693,2020-07-25 14:32:27.796915,32.2366,27.8779
1595676811.4404454,2020-07-25 14:33:31.440430,32.2366,27.8779
1595676875.1190012,2020-07-25 14:34:35.118985,32.2366,27.8779
1595676938.6042707,2020-07-25 14:35:38.604253,32.2366,27.8779
1595677001.964329,2020-07-25 14:36:41.964313,32.2366,27.8779
1595677065.6276157,2020-07-25 14:37:45.627600,32.2366,27.8779
1595677129.2979105,2020-07-25 14:38:49.297894,32.2366,27.8779
1595677192.9160848,2020-07-25 14:39:52.916069,32.2366,27.8779
1595677256.2840047,2020-07-25 14:40:56.283987,32.2366,27.8779
1595677319.8944054,2020-07-25 14:41:59.894389,32.2366,27.8779
1595677383.6550415,2020-07-25 14:43:03.655026,32.2366,27.8779
1595677447.4420302,2020-07-25 14:44:07.442013,32.2366,27.8779
1595677511.0286036,2020-07-25 14:45:11.028587,32.2366,27.8779
1595677574.5970361,2020-07-25 14:46:14.597018,32.2366,27.8779
1595677638.0512574,2020-07-25 14:47:18.051242,32.2366,27.8779
1595677701.5144289,2020-07-25 14:48:21.514412,32.2366,27.8779
1595677765.0055363,2020-07-25 14:49:25.005520,32.2366,27.8779
1595677828.6636722,2020-07-25 14:50:28.663655,32.2366,27.8779
1595677892.1762598,2020-07-25 14:51:32.176245,32.2366,27.8779
1595677955.776954,2020-07-25 14:52:35.776938,32.2366,27.8779
1595678019.337888,2020-07-25 14:53:39.337871,32.2366,27.8779
1595678083.2178068,2020-07-25 14:54:43.217790,32.2366,27.8779
1595678146.5881708,2020-07-25 14:55:46.588154,32.2366,27.8779
1595678210.134339,2020-07-25 14:56:50.134323,32.2366,27.8779
1595678273.755841,2020-07-25 14:57:53.755824,32.2366,27.8779
1595678337.442414,2020-07-25 14:58:57.442398,32.2366,27.8779
1595689211.7834744,2020-07-25 18:00:11.783459,32.2366,27.8779
1595750416.5587707,2020-07-26 11:00:16.558755,32.2366,27.8779
1595750480.5641088,2020-07-26 11:01:20.564093,32.2366,27.8779
1595750544.137128,2020-07-26 11:02:24.137112,32.2366,27.8779
1595750607.6316266,2020-07-26 11:03:27.631610,32.2366,27.8779
1595750671.0811367,2020-07-26 11:04:31.081120,32.2366,27.8779
1595750734.6174517,2020-07-26 11:05:34.617436,32.2366,27.8779
1595750798.2564309,2020-07-26 11:06:38.256415,32.2366,27.8779
1595750861.6812878,2020-07-26 11:07:41.681272,32.2366,27.8779
1595750925.3188155,2020-07-26 11:08:45.318799,32.2366,27.8779
1595750989.058662,2020-07-26 11:09:49.058646,32.2366,27.8779
1595751052.534933,2020-07-26 11:10:52.534916,32.2366,27.8779
1595751116.061522,2020-07-26 11:11:56.061507,32.2366,27.8779
1595751179.6557465,2020-07-26 11:12:59.655731,32.2366,27.8779
1595751243.886282,2020-07-26 11:14:03.886266,32.2366,27.8779
1595751307.3159275,2020-07-26 11:15:07.315910,32.2366,27.8779
1595751370.919269,2020-07-26 11:16:10.919253,32.2366,27.8779
1595751434.4544125,2020-07-26 11:17:14.454397,32.2366,27.8779
1595751497.9246082,2020-07-26 11:18:17.924592,32.2366,27.8779
1595751561.4603717,2020-07-26 11:19:21.460355,32.2366,27.8779
1595751625.1654305,2020-07-26 11:20:25.165414,32.2366,27.8779
1595751689.7965748,2020-07-26 11:21:29.796559,32.2366,27.8779
1595751753.3698313,2020-07-26 11:22:33.369816,32.2366,27.8779
1595751816.957568,2020-07-26 11:23:36.957553,32.2366,27.8779
1595751880.5491562,2020-07-26 11:24:40.549140,32.2366,27.8779
1595751944.216898,2020-07-26 11:25:44.216882,32.2366,27.8779
1595752007.9540315,2020-07-26 11:26:47.954015,32.2366,27.8779
1595752071.7151961,2020-07-26 11:27:51.715181,32.2366,27.8779
1595752135.0947258,2020-07-26 11:28:55.094708,32.2366,27.8779
1595752198.753444,2020-07-26 11:29:58.753427,32.2366,27.8779
1595752262.851634,2020-07-26 11:31:02.851618,32.2366,27.8779
1595752326.8374228,2020-07-26 11:32:06.837406,32.2366,27.8779
1595752390.7044837,2020-07-26 11:33:10.704468,32.2366,27.8779
1595752454.1341343,2020-07-26 11:34:14.134118,32.2366,27.8779
1595752517.748157,2020-07-26 11:35:17.748141,32.2366,27.8779
1595752581.195604,2020-07-26 11:36:21.195588,32.2366,27.8779
1595752644.906329,2020-07-26 11:37:24.906312,32.2366,27.8779
1595752708.5437577,2020-07-26 11:38:28.543741,32.2366,27.8779
1595752772.1110425,2020-07-26 11:39:32.111026,32.2366,27.8779
1595752835.3724287,2020-07-26 11:40:35.372412,32.2366,27.8779
1595752899.147319,2020-07-26 11:41:39.147303,32.2366,27.8779
1595752962.7002475,2020-07-26 11:42:42.700232,32.2366,27.8779
1595753026.5396705,2020-07-26 11:43:46.539654,32.2366,27.8779
1595753090.0306652,2020-07-26 11:44:50.030649,32.2366,27.8779
1595753153.7867234,2020-07-26 11:45:53.786707,32.2366,27.8779
1595753217.269106,2020-07-26 11:46:57.269090,32.2366,27.8779
1595753280.7584653,2020-07-26 11:48:00.758449,32.2366,27.8779
1595753344.3876424,2020-07-26 11:49:04.387627,32.2366,27.8779
1595753407.7194798,2020-07-26 11:50:07.719465,32.2366,27.8779
1595753471.2667146,2020-07-26 11:51:11.266699,32.2366,27.8779
1595753534.6729782,2020-07-26 11:52:14.672963,32.2366,27.8779
1595753598.188544,2020-07-26 11:53:18.188529,32.2366,27.8779
1595753661.6966794,2020-07-26 11:54:21.696663,32.2366,27.8779
1595753725.1187856,2020-07-26 11:55:25.118771,32.2366,27.8779
1595753788.4282458,2020-07-26 11:56:28.428229,32.2366,27.8779
1595753852.0913882,2020-07-26 11:57:32.091372,32.2366,27.8779
1595753915.414996,2020-07-26 11:58:35.414981,32.2366,27.8779
1595753979.1742947,2020-07-26 11:59:39.174278,32.2366,27.8779
1595761249.7464702,2020-07-26 14:00:49.746455,32.2366,27.8779
1595761313.7685974,2020-07-26 14:01:53.768581,32.2366,27.8779
1595761377.0865135,2020-07-26 14:02:57.086496,32.2366,27.8779
1595761440.463484,2020-07-26 14:04:00.463468,32.2366,27.8779
1595761504.0554345,2020-07-26 14:05:04.055418,32.2366,27.8779
1595761567.4187675,2020-07-26 14:06:07.418751,32.2366,27.8779
1595761630.9557443,2020-07-26 14:07:10.955728,32.2366,27.8779
1595761694.3632722,2020-07-26 14:08:14.363256,32.2366,27.8779
1595761758.0197017,2020-07-26 14:09:18.019686,32.2366,27.8779
1595761822.0431867,2020-07-26 14:10:22.043170,32.2366,27.8779
1595761886.0103016,2020-07-26 14:11:26.010285,32.2366,27.8779
1595761949.6633482,2020-07-26 14:12:29.663333,32.2366,27.8779
1595762013.1636896,2020-07-26 14:13:33.163674,32.2366,27.8779
1595762076.5785925,2020-07-26 14:14:36.578577,32.2366,27.8779
1595762139.8919897,2020-07-26 14:15:39.891974,32.2366,27.8779
1595762203.28452,2020-07-26 14:16:43.284504,32.2366,27.8779
1595762267.0093527,2020-07-26 14:17:47.009336,32.2366,27.8779
1595762330.45079,2020-07-26 14:18:50.450774,32.2366,27.8779
1595762394.8378959,2020-07-26 14:19:54.837880,32.2366,27.8779
1595762458.4611049,2020-07-26 14:20:58.461089,32.2366,27.8779
1595762522.0363836,2020-07-26 14:22:02.036368,32.2366,27.8779
1595762585.478823,2020-07-26 14:23:05.478808,32.2366,27.8779
1595762648.913783,2020-07-26 14:24:08.913768,32.2366,27.8779
1595762712.8639562,2020-07-26 14:25:12.863941,32.2366,27.8779
1595762776.3851461,2020-07-26 14:26:16.385130,32.2366,27.8779
1595762839.8060787,2020-07-26 14:27:19.806063,32.2366,27.8779
1595762903.494363,2020-07-26 14:28:23.494347,32.2366,27.8779
1595762967.0495818,2020-07-26 14:29:27.049566,32.2366,27.8779
1595763030.625126,2020-07-26 14:30:30.625109,32.2366,27.8779
1595763094.0497851,2020-07-26 14:31:34.049768,32.2366,27.8779
1595763157.5474958,2020-07-26 14:32:37.547479,32.2366,27.8779
1595763221.1312582,2020-07-26 14:33:41.131242,32.2366,27.8779
1595763284.4571736,2020-07-26 14:34:44.457157,32.2366,27.8779
1595763347.887718,2020-07-26 14:35:47.887702,32.2366,27.8779
1595763411.4047656,2020-07-26 14:36:51.404749,32.2366,27.8779
1595763474.7902927,2020-07-26 14:37:54.790277,32.2366,27.8779
1595763538.3434772,2020-07-26 14:38:58.343461,32.2366,27.8779
1595763601.7345347,2020-07-26 14:40:01.734519,32.2366,27.8779
